Handset,82,80,78,76,74,72,70,68,66,64,62,60,58
IPHONE 12 PRO MAX,30,100,150,200,250,300,,,,,,,
IPHONE 12 PRO,,,30,100,130,200,250,300,,,,,
IPHONE 12,,,,,,,,30,100,130,200,250,300
IPHONE 12 MINI,,,,,,,,,,,30,100,150
